weight,weights,rel_weights,center_of_mass,normalized_center_of_mass,inertia,normalized_inertia
148,"{'top_left': 18, 'top_right': 18, 'bottom_left': 56, 'bottom_right': 56}","{'top_left': 0.10714285714285714, 'top_right': 0.10714285714285714, 'bottom_left': 0.3333333333333333, 'bottom_right': 0.3333333333333333}","(5.5, 37.0)","(0.4583333333333333, 0.6727272727272727)","(114.0, 1.25)","(0.03635204081632653, 0.0073964497041420114)"
228,"{'top_left': 0, 'top_right': 0, 'bottom_left': 117, 'bottom_right': 111}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.17727272727272728, 'bottom_right': 0.16818181818181818}","(19.38157894736842, 53.42982456140351)","(0.49696356275303644, 0.8219973009446694)","(25.429285934133578, 100.52545013850416)","(0.005837760774594485, 0.0628284063365651)"
247,"{'top_left': 0, 'top_right': 0, 'bottom_left': 122, 'bottom_right': 125}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.1742857142857143, 'bottom_right': 0.17857142857142858}","(19.530364372469634, 54.36842105263158)","(0.5007785736530675, 0.7766917293233083)","(35.0343064138078, 94.40292415873068)","(0.006949872329658361, 0.05900182759920668)"
235,"{'top_left': 0, 'top_right': 0, 'bottom_left': 118, 'bottom_right': 117}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.20344827586206896, 'bottom_right': 0.20172413793103447}","(19.506382978723405, 49.97021276595745)","(0.500163666121113, 0.8615553925165077)","(46.69272974196469, 99.1776188320507)","(0.01341359659349747, 0.061986011770031685)"
247,"{'top_left': 1, 'top_right': 2, 'bottom_left': 121, 'bottom_right': 123}","{'top_left': 0.0017241379310344827, 'top_right': 0.0034482758620689655, 'bottom_left': 0.20862068965517241, 'bottom_right': 0.2120689655172414}","(19.530364372469634, 48.97570850202429)","(0.5007785736530675, 0.8444087672762809)","(63.85366093527185, 94.40292415873068)","(0.018343482026794554, 0.05900182759920668)"
327,"{'top_left': 27, 'top_right': 1, 'bottom_left': 163, 'bottom_right': 136}","{'top_left': 0.05142857142857143, 'top_right': 0.0019047619047619048, 'bottom_left': 0.31047619047619046, 'bottom_right': 0.259047619047619}","(13.030581039755353, 51.89296636085627)","(0.44933038068121905, 0.7520719762442938)","(151.53900251568797, 43.436373668509006)","(0.030926327044017952, 0.048262637409454454)"
347,"{'top_left': 27, 'top_right': 1, 'bottom_left': 166, 'bottom_right': 153}","{'top_left': 0.05142857142857143, 'top_right': 0.0019047619047619048, 'bottom_left': 0.3161904761904762, 'bottom_right': 0.2914285714285714}","(13.403458213256485, 52.17579250720461)","(0.4621882142502236, 0.7561709059015161)","(145.04402494830123, 43.62396498600602)","(0.02960082141802066, 0.048471072206673356)"
307,"{'top_left': 27, 'top_right': 1, 'bottom_left': 158, 'bottom_right': 121}","{'top_left': 0.05142857142857143, 'top_right': 0.0019047619047619048, 'bottom_left': 0.30095238095238097, 'bottom_right': 0.23047619047619047}","(12.86970684039088, 51.69055374592834)","(0.4437829944962372, 0.749138460085918)","(160.6110834067205, 45.761525321223566)","(0.032777772123820506, 0.05084613924580396)"
327,"{'top_left': 42, 'top_right': 6, 'bottom_left': 158, 'bottom_right': 121}","{'top_left': 0.08, 'top_right': 0.011428571428571429, 'bottom_left': 0.30095238095238097, 'bottom_right': 0.23047619047619047}","(12.908256880733944, 50.05810397553517)","(0.445112306232205, 0.7254797677613792)","(191.8161957934704, 43.06191959150464)","(0.03914616240683069, 0.047846577323894045)"
139,"{'top_left': 0, 'top_right': 0, 'bottom_left': 54, 'bottom_right': 85}","{'top_left': 0.0, 'top_right': 0.0, 'bottom_left': 0.17532467532467533, 'bottom_right': 0.275974025974026}","(11.258992805755396, 46.23021582733813)","(0.5361425145597808, 0.840549378678875)","(46.88225247140418, 19.601987474768386)","(0.014949697854401842, 0.04049997412142228)"
